"#","Solution","W","T","P0","P1","P2","P3","P4","P5","P6","v1","v2","v3"
"82","C-0_0_3_3_3_0_3_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.14","2","0.9","28","23","7504.87","168.5","2202.43"
"83","C-0_0_2_3_3_4_3_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.14","14","0.9","28","18","8308.73","286.5","3249.05"
"84","C-0_0_4_1_2_4_2_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.10","0.11","14","0.8","27","28","7294.36","0.0","2958.58"
"85","C-0_0_4_1_1_3_1_0_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.10","0.08","11","0.7","25","28","7479.13","10.0","2816.37"
"86","C-0_0_4_1_1_3_1_0_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.10","0.08","11","0.7","25","23","7239.49","36.0","2746.84"
"87","C-0_0_4_1_1_3_1_0_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.10","0.08","11","0.7","25","18","7172.63","46.0","2727.57"
"88","C-0_0_4_1_1_3_1_0_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.10","0.08","11","0.7","25","13","7171.69","46.0","2727.3"
"89","C-0_0_1_1_0_3_2_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.10","0.05","11","0.8","28","13","10338.85","522.0","3796.0"
"90","C-0_0_1_1_0_3_2_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.10","0.05","11","0.8","28","18","10340.34","522.0","3796.49"
"91","C-0_0_1_1_0_3_2_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.10","0.05","11","0.8","28","23","10511.36","499.0","3847.67"
